RANumb,Text,Label
ra3,"Last Updated March 1, 2022",Updated Privacy Policy
ra3,"Opt-Out and Do Not Sell - California Residents

Irys does engage in the sale of personal data with a variety of partners. You can opt-out of data collection and sharing at any time by emailing us at privacy@irys.us, or by accessing these opt-out mechanisms in our Privacy Policy. You have a right under the CCPA to opt-out of the sale of your information by utilizing Irys  “Opt-out/Do Not Sell” Form.",Description of Right to Opt-out of sale of PI
ra3,"You can opt-out of data collection and sharing at any time by emailing us at privacy@irys.us, or by accessing these opt-out mechanisms in our Privacy Policy. You have a right under the CCPA to opt-out of the sale of your information by utilizing Irys  “Opt-out/Do Not Sell” Form.",Methods to exercise rights
ra3,"INFORMATION WE COLLECT AND HOW WE COLLECT IT

We obtain a variety of information (collectively the “Information”) from trusted third-party data providers such as mobile application developers. We collect this Information primarily through Software Development Kits (SDKs) that are embedded with mobile apps or APIs, which are interfaces through which these app developers can provide us with information about their users.

WE COLLECT THE FOLLOWING INFORMATION FROM THESE APPS

Mobile ad identifiers, primarily Apple iOS IDFAs or Google Android IDs;

The horizontal accuracy of the latitude/longitude coordinates.

The precise geographic location of a device at a certain time, usually expressed in latitude/longitude coordinates along with a timestamp;

In addition to the above we may also receive

Information about a device such as device type and model and OS type and version;

Public facing (external) IP address of device;

The direction in which the device is traveling as a degree coordinate and speed of device;

Altitude and vertical accuracy;

Phone carrier and connection type (e.g., cellular, wifi);

Proximity beacon UUID’s or any associated Bluetooth Low Energy(BLE) beacon metadata.

Device language;

Available or connected WiFi SSID and/or BSSID names;

We also collect certain Information when people visit our website(s), including the website on which this Privacy Policy resides. When you visit our website, we or third party platforms we work with may automatically collect other information from your desktop computer, laptop, mobile phone, tablet, or other consumer electronic device that you use to access the website. This information may include anonymous data, such as a unique browser identifier, device type, operating system, settings and system configurations, IP address, other unique device identifiers, and mobile network information and your activity on our website, as well as data about the webpages you access, traffic to and from websites, the dates and times associated with transactions, and web log data. We refer to this as “Site Data.”",Categories of Personal Information Collected
ra3,"HOW WE USE THE INFORMATION WE COLLECT

Inferences from Aggregated Data. We often use the information we collect to make inferences about human location and traffic patterns. We curate these insights into data products. We may append other fields such as venue name, category, dwell timed or ticker symbols to an aggregate group of device IDs to build consumer profiles or to make financial based decisions such as trading on the stock market based off our aggregate panel. IDs.""

Aggregated Traffic Patterns and Research. We also share the information we receive with other marketing and research companies (including advertising platforms), who use the information to provide similar services. This helps these companies to better predict and draw insights about consumer, market or scientific trends related to human movement patterns. This same information may also be licensed to real estate, city planners or smart city companies and augmented with fields to create more specific segments. For example if an aggregate group of devices drive vs walk to determine whether to put a bus stop in an area or not or to understand the flow of traffic overtime to determine whether to purchase or not purchase a piece of real estate.

The above is not an exhaustive description of all of the ways the information we collect may be used:  we may, for instance, sometimes customize uses of the information we have for certain customers. But the above does describe the types of information that we collect, how we generally collect it, and what our company focuses on.",Categories of Personal Information Collected
ra3,"HOW WE USE THE INFORMATION WE COLLECT

Inferences from Aggregated Data. We often use the information we collect to make inferences about human location and traffic patterns. We curate these insights into data products. We may append other fields such as venue name, category, dwell timed or ticker symbols to an aggregate group of device IDs to build consumer profiles or to make financial based decisions such as trading on the stock market based off our aggregate panel. IDs.""

Aggregated Traffic Patterns and Research. We also share the information we receive with other marketing and research companies (including advertising platforms), who use the information to provide similar services. This helps these companies to better predict and draw insights about consumer, market or scientific trends related to human movement patterns. This same information may also be licensed to real estate, city planners or smart city companies and augmented with fields to create more specific segments. For example if an aggregate group of devices drive vs walk to determine whether to put a bus stop in an area or not or to understand the flow of traffic overtime to determine whether to purchase or not purchase a piece of real estate.

The above is not an exhaustive description of all of the ways the information we collect may be used:  we may, for instance, sometimes customize uses of the information we have for certain customers. But the above does describe the types of information that we collect, how we generally collect it, and what our company focuses on.",Categories of Personal Information Shared / Disclosed
ra3,"HOW WE USE THE INFORMATION WE COLLECT

Inferences from Aggregated Data. We often use the information we collect to make inferences about human location and traffic patterns. We curate these insights into data products. We may append other fields such as venue name, category, dwell timed or ticker symbols to an aggregate group of device IDs to build consumer profiles or to make financial based decisions such as trading on the stock market based off our aggregate panel. IDs.""

Aggregated Traffic Patterns and Research. We also share the information we receive with other marketing and research companies (including advertising platforms), who use the information to provide similar services. This helps these companies to better predict and draw insights about consumer, market or scientific trends related to human movement patterns. This same information may also be licensed to real estate, city planners or smart city companies and augmented with fields to create more specific segments. For example if an aggregate group of devices drive vs walk to determine whether to put a bus stop in an area or not or to understand the flow of traffic overtime to determine whether to purchase or not purchase a piece of real estate.

The above is not an exhaustive description of all of the ways the information we collect may be used:  we may, for instance, sometimes customize uses of the information we have for certain customers. But the above does describe the types of information that we collect, how we generally collect it, and what our company focuses on.",Categories of Personal Information Sold
ra3,"INFORMATION WE SHARE WITH OTHERS

We share the data and information we compile about someone in an aggregated or anonymized way using advertising IDs or another type of anonymous identifier:

to display and optimize advertisements (like improving the relevancy of the advertisements displayed, tailoring them to certain interests, or creating audiences

for measurement, statistics, usage reporting, and other data analytics, and

for industry analysis, demographic profiling, market research and other such purposes.


WHO WE SHARE YOUR INFORMATION WITH

We may share your personal information with selected third parties including:

·       business partners, suppliers and sub-contractors for the performance of any contract we enter into with them or you in order to provide our clients with a product or service;

·       analytics and search engine providers that assist us in the improvement and optimization of the Service.",Categories of Personal Information Shared / Disclosed
ra3,"INFORMATION WE SHARE WITH OTHERS

We share the data and information we compile about someone in an aggregated or anonymized way using advertising IDs or another type of anonymous identifier:

to display and optimize advertisements (like improving the relevancy of the advertisements displayed, tailoring them to certain interests, or creating audiences

for measurement, statistics, usage reporting, and other data analytics, and

for industry analysis, demographic profiling, market research and other such purposes.


WHO WE SHARE YOUR INFORMATION WITH

We may share your personal information with selected third parties including:

·       business partners, suppliers and sub-contractors for the performance of any contract we enter into with them or you in order to provide our clients with a product or service;

·       analytics and search engine providers that assist us in the improvement and optimization of the Service.",Categories of Personal Information Sold
ra3,"We may disclose your personal information to third parties:

·       If we enter into negotiations to buy, sell, or merge with any business or assets, or if we enter into bankruptcy, reorganization, or receivership, in which case we may disclose your personal information to the prospective or eventual seller or buyer of such business or assets;

·       If we are under a duty to disclose or share your personal information in order to comply with any legal obligation, or in the event of an emergency, or in order to enforce or apply our Terms of Use and other agreements, or to protect the rights, property, or safety of Irys, our customers, clients or others; and

·       To any other third party not covered in this policy with your prior consent.",Categories of Personal Information Shared / Disclosed
