RANumb,Text,Label
ra2,"2. From Whom We Collect Information

This policy applies to Pipl’s collection, use, and disclosure of the personal information of the following categories of individuals:",Categories of Personal Information Collected
ra2,"Website Visitors: Individuals who visit our Website and who may volunteer certain contact data (such as their email address) to receive communications from Pipl. For the purposes of this Policy, “Website” shall refer to www.pipl.com as well as any other websites Pipl owns and that link to this Policy. For clarity, “Website” does not include any sites owned or operated by our Customers or other third parties.",Categories of Personal Information Collected
ra2,"Customers: Those who register on their own or on behalf of an entity or organization to use any of the Pipl Services (as defined below), including administrators on a Customer account. For the purposes of this Policy, “Services” shall refer to all products or service offerings made available by Pipl. ",Categories of Personal Information Collected
ra2,"3. Commitment to Children's Privacy

We are committed to protecting the privacy of minors. To comply with various privacy regulations, at this time, Pipl is not directed or otherwise intended to be used by users under the age of 18. Therefore, our Services are only available to users who are at least 18 years old and should only be used by users in that condition, in accordance with our terms of service. If you are under 18, please do not use Pipl's service.",Others
ra2,"4. How We Use Your Personal Information 

If you are an individual from the European Economic Area (EEA), please note that our legal basis for collecting and using your personal information will depend on the personal information collected and the specific context in which we collect it. 

We normally collect personal information from you only where: (a) we have your consent to do so, (b) where we need your personal information to perform a contract with you (e.g. to deliver the Pipl Services you have requested), (c) where the processing is in our legitimate interests; or (d) where we are required to collect, retain or share such information under applicable laws. 

In some cases, we may need the personal information to protect your vital interests or those of another person.

Where we rely on your consent to process your personal information, you have the right to withdraw or decline consent at any time. Where we rely on our legitimate interests to process your personal information, you have the right to object.

If you have any questions about or need further information concerning the legal basis on which we collect and use your personal information, please contact us through the contact details available below.",Categories of Personal Information Sold
ra2,"4. How We Use Your Personal Information 

If you are an individual from the European Economic Area (EEA), please note that our legal basis for collecting and using your personal information will depend on the personal information collected and the specific context in which we collect it. 

We normally collect personal information from you only where: (a) we have your consent to do so, (b) where we need your personal information to perform a contract with you (e.g. to deliver the Pipl Services you have requested), (c) where the processing is in our legitimate interests; or (d) where we are required to collect, retain or share such information under applicable laws. 

In some cases, we may need the personal information to protect your vital interests or those of another person.

Where we rely on your consent to process your personal information, you have the right to withdraw or decline consent at any time. Where we rely on our legitimate interests to process your personal information, you have the right to object.

If you have any questions about or need further information concerning the legal basis on which we collect and use your personal information, please contact us through the contact details available below.",Categories of Personal Information Shared / Disclosed
ra2,"4. How We Use Your Personal Information 

If you are an individual from the European Economic Area (EEA), please note that our legal basis for collecting and using your personal information will depend on the personal information collected and the specific context in which we collect it. 

We normally collect personal information from you only where: (a) we have your consent to do so, (b) where we need your personal information to perform a contract with you (e.g. to deliver the Pipl Services you have requested), (c) where the processing is in our legitimate interests; or (d) where we are required to collect, retain or share such information under applicable laws. 

In some cases, we may need the personal information to protect your vital interests or those of another person.

Where we rely on your consent to process your personal information, you have the right to withdraw or decline consent at any time. Where we rely on our legitimate interests to process your personal information, you have the right to object.

If you have any questions about or need further information concerning the legal basis on which we collect and use your personal information, please contact us through the contact details available below.",Categories of Personal Information Collected
ra2,"Purpose

Legal basis

Provision of our Services; support. We use your personal information, such as but not limited to your name and email address, for consumer services purposes. This includes, for example, responding to your inquiries.

The legal bases for processing this data are the performance of our contractual towards you; your consent (for example, when you provide personal information); compliance with our legal obligations; and our legitimate interests. Our legitimate interests in this case are enforcing our policies, protection against fraud and misuse of our Services.

Payments. We collect from our third-party payment processors certain information about your payment instruments for the purpose of connecting your payment instrument to your account on our Services, and sending to you statements, invoices, and payment reminders.

The legal bases for processing this data are the performance of our contractual obligations; the protection of our legitimate interests, in this case provision of our Services; and compliance with legal obligations to which we are subject.

Improve our Services. We collect and analyze information about you and your usage of our Services to improve the usability and effectiveness of our Services.  

The legal basis for processing this data is our legitimate interests, in this case – providing and improving our Services.

Marketing and Advertising. We may use Tracking Technologies (which may collect personal information) in order to provide you with personalized advertisements when you visit our Services. 

The legal basis for processing this data are your consent (when required) and our legitimate interests. Our legitimate interests in this case are providing you with tailored services, content and advertisements that better correspond with your interests. 

Integrity. We may process certain information about you and your use usage of the Service in order to keep the integrity and security of the Services, prevent fraud, identify your identity and enforce our policies.

The legal bases for processing this data are your consent (where required), compliance with our legal obligations and our legitimate interests. Our legitimate interests in this case are keeping the integrity of our Services and the safety of our end-users.

Compliance with applicable laws. 

We may be required to collect, retain, or share your personal information, under applicable laws.",Categories of Personal Information Collected
ra2,"Purpose

Legal basis

Provision of our Services; support. We use your personal information, such as but not limited to your name and email address, for consumer services purposes. This includes, for example, responding to your inquiries.

The legal bases for processing this data are the performance of our contractual towards you; your consent (for example, when you provide personal information); compliance with our legal obligations; and our legitimate interests. Our legitimate interests in this case are enforcing our policies, protection against fraud and misuse of our Services.

Payments. We collect from our third-party payment processors certain information about your payment instruments for the purpose of connecting your payment instrument to your account on our Services, and sending to you statements, invoices, and payment reminders.

The legal bases for processing this data are the performance of our contractual obligations; the protection of our legitimate interests, in this case provision of our Services; and compliance with legal obligations to which we are subject.

Improve our Services. We collect and analyze information about you and your usage of our Services to improve the usability and effectiveness of our Services.  

The legal basis for processing this data is our legitimate interests, in this case – providing and improving our Services.

Marketing and Advertising. We may use Tracking Technologies (which may collect personal information) in order to provide you with personalized advertisements when you visit our Services. 

The legal basis for processing this data are your consent (when required) and our legitimate interests. Our legitimate interests in this case are providing you with tailored services, content and advertisements that better correspond with your interests. 

Integrity. We may process certain information about you and your use usage of the Service in order to keep the integrity and security of the Services, prevent fraud, identify your identity and enforce our policies.

The legal bases for processing this data are your consent (where required), compliance with our legal obligations and our legitimate interests. Our legitimate interests in this case are keeping the integrity of our Services and the safety of our end-users.

Compliance with applicable laws. 

We may be required to collect, retain, or share your personal information, under applicable laws.",Categories of Personal Information Shared / Disclosed
ra2,"Purpose

Legal basis

Provision of our Services; support. We use your personal information, such as but not limited to your name and email address, for consumer services purposes. This includes, for example, responding to your inquiries.

The legal bases for processing this data are the performance of our contractual towards you; your consent (for example, when you provide personal information); compliance with our legal obligations; and our legitimate interests. Our legitimate interests in this case are enforcing our policies, protection against fraud and misuse of our Services.

Payments. We collect from our third-party payment processors certain information about your payment instruments for the purpose of connecting your payment instrument to your account on our Services, and sending to you statements, invoices, and payment reminders.

The legal bases for processing this data are the performance of our contractual obligations; the protection of our legitimate interests, in this case provision of our Services; and compliance with legal obligations to which we are subject.

Improve our Services. We collect and analyze information about you and your usage of our Services to improve the usability and effectiveness of our Services.  

The legal basis for processing this data is our legitimate interests, in this case – providing and improving our Services.

Marketing and Advertising. We may use Tracking Technologies (which may collect personal information) in order to provide you with personalized advertisements when you visit our Services. 

The legal basis for processing this data are your consent (when required) and our legitimate interests. Our legitimate interests in this case are providing you with tailored services, content and advertisements that better correspond with your interests. 

Integrity. We may process certain information about you and your use usage of the Service in order to keep the integrity and security of the Services, prevent fraud, identify your identity and enforce our policies.

The legal bases for processing this data are your consent (where required), compliance with our legal obligations and our legitimate interests. Our legitimate interests in this case are keeping the integrity of our Services and the safety of our end-users.

Compliance with applicable laws. 

We may be required to collect, retain, or share your personal information, under applicable laws.",Categories of Personal Information Sold
