Link,IsHomepage,Textmatch_P,Textmatch_S,Textmatch_PP,Link_Match
http://lead411.com/privacy-policy/,,ccpa||california consumer privacy act,right to access||authorized agent,privacy policy,"['privacy', 'policy']"
https://blackbaud.com/company/privacy-policy/blackbaud-id,,ccpa||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,"['privacy', 'policy']"
https://statlistics.com/privacy-policy/,,ccpa||california consumer privacy act,right to know,privacy policy,"['privacy', 'policy']"
https://www.spydialer.com/privacy.aspx,,ccpa||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
http://vdx.tv/policies,,ccpa||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,[]
http://accucomcorp.com/privacy,,ccpa||california consumer privacy act,only you or a person registered with the california,privacy policy,['privacy']
https://www.acxiom.com/about-us/privacy/privacy-policy-www-acxiom-com/,,ccpa||california consumer privacy act,right to know,privacy policy,"['privacy', 'policy']"
https://www.anchorcomputer.com/index.php/privacy-policy/,,ccpa||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
https://www.sms-inc.com/privacy-policy-ca/,,ccpa||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.sourceitmarketing.com/privacy-policy/,,ccpa||california consumer privacy act,right to access,privacy policy,"['privacy', 'policy']"
https://www.spglobal.com/en/privacy/privacy-policy-english,,ccpa||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.integratedmedicaldata.com/privacy-policy/,,ccpa||california consumer privacy act,right to know,privacy policy,"['privacy', 'policy']"
http://www.swordfish.ai/policy-ccpa,,ccpa||california consumer privacy act,not discriminate||authorized agent,privacy policy,"['policy', 'ccpa']"
https://webbula.com/?page_id=14347,,ccpa,,privacy policy,[]
https://www.arity.com/privacy/,,ccpa||california consumer privacy act,right to know||right to access||non-discrimination,privacy policy,['privacy']
https://www.compactlists.com/privacy-policy/,,ccpa,right to know||nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.edvisors.com/terms-privacy-disclaimer/,,ccpa,right to know||right to access||non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,['privacy']
https://www.limeleads.com/privacy-policy/,,ccpa||california consumer privacy act,right to access,privacy policy,"['privacy', 'policy']"
https://www.nextroll.com/privacy#website-13,,ccpa||california consumer privacy act,"right to know||only you, or a person registered with the california||non-discrimination||not discriminate||authorized representative",privacy policy,['privacy']
https://www.taboola.com/policies/privacy-policy#user-choices-and-opting-out,,ccpa,right to know,privacy policy,"['privacy', 'policy']"
https://www.telephonelists.biz/privacy-notice-for-residents-of-california/,,ccpa||california consumer privacy act,non-discrimination||not discriminate,privacy policy,['privacy']
https://www.truedata.co/privacy-policy/,,ccpa||california consumer privacy act,right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.anteriad.com/privacy-policy/,,ccpa||california consumer privacy act,nondiscrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.apollointeractive.com/privacy-policy.php,,ccpa||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
http://WWW.BELARDIWONG.COM/privacy-policy,,ccpa||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,"['privacy', 'policy']"
http://www.CompleteMailingLists.com/privacy-policy,,ccpa,right to access||non-discrimination,privacy policy,"['privacy', 'policy']"
http://www.experian.com/privacy/index.html,,ccpa||california consumer privacy act,right to know,privacy policy,['privacy']
http://www.pacificeast.com/privacy-policy/,,ccpa||california consumer privacy act,right to access,privacy policy,"['privacy', 'policy']"
https://ekata.com/privacy-policy/,,ccpa||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
https://privacy.sovrn.com/opt-out,,ccpa||california consumer privacy act,authorized agent,privacy policy,['privacy']
https://www.acbj.com/careers/ccpanotice,,ccpa||california consumer privacy act,not discriminate,privacy policy,['ccpa']
https://www.bdo.com/legal-privacy/legal/privacy-policy ,,ccpa,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
