Link,IsHomepage,Textmatch_P,Textmatch_S,Textmatch_PP,Link_Match
http://bestbuy.com/site/privacy-policy/state-privacy-rights/pcmcat204400050063.c?id=pcmcat204400050063,,ccpa||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
http://costco.com/privacy-policy.html#cppa,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://about.att.com/csr/home/privacy/full_privacy_policy.html#choice,,ccpa||california consumer privacy||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
https://docs.github.com/site-policy/privacy-policies/github-privacy-statement,,ccpa||california consumer privacy||california consumer privacy act,not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
https://policies.google.com/privacy?hl=en&fg=1,,ccpa||california consumer privacy||california consumer privacy act,right to access||authorized agent||not be discriminate,privacy policy,['privacy']
https://policy.medium.com/medium-privacy-policy-f03bf92035c9?source=home-------------------------------------,,ccpa||california privacy||california consumer privacy||california consumer privacy act,not discriminate||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
https://twitter.com/privacy,,ccpa||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,['privacy']
https://www.businessinsider.com/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.forbes.com/fdc/privacy.html,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||nondiscrimination||not discriminate||authorized agent||authorized representative,privacy policy,['privacy']
https://www.linkedin.com/legal/california-privacy-disclosure?trk=homepage-basic_footer-california-privacy-rights-act,,ccpa||california privacy||california consumer privacy||california consumer privacy act,nondiscrimination||authorized agent,privacy policy,['privacy']
https://www.linkedin.com/legal/copyright-policy?trk=homepage-basic_footer-copyright-policy,,california privacy,authorized agent,privacy policy,['policy']
https://www.mayoclinic.org/about-this-site/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to access,privacy policy,"['privacy', 'policy']"
https://www.nytimes.com/privacy/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.usnews.com/features/info/privacy/state-notice,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
https://www.xfinity.com/privacy/policy/staterights#california,,ccpa||california consumer privacy||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
http://target.com/c/target-privacy-policy/-/N-4sr7p,,ccpa||california consumer privacy||california consumer privacy act,non-discrimination||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://theguardian.com/help/privacy-policy,,california privacy||california consumer privacy||california consumer privacy act,non-discrimination||not discriminate,privacy policy,"['privacy', 'policy']"
http://adp.com/privacy.aspx,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,['privacy']
http://cargurus.com/Cars/privacyPolicy.html,,ccpa||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://chewy.com/app/content/privacy#cms-privacy__cookies,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||not discriminate||authorized agent,privacy policy,['privacy']
http://express.co.uk/privacy-notice,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,['privacy']
http://nba.com/caprivacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,['privacy']
http://wikihow.com/wikiHow:Privacy-Policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,non-discrimination||not discriminate||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
https://explore.zoom.us/en/privacy/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||not discriminate||authorized agent,privacy policy,['privacy']
https://privacy.groupon.com/policies?name=privacy-policy#8-your-choices,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
https://stackoverflow.com/legal/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
https://www.buzzfeed.com/about/privacy,,ccpa,right to access||authorized representative||not be discriminate,privacy policy,['privacy']
https://www.creditkarma.com/about/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,['privacy']
https://www.huffpost.com/static/privacy-policy,,ccpa,right to access||authorized representative||not be discriminate,privacy policy,"['privacy', 'policy']"
https://www.legacy.com/privacy-policy/,,california privacy,right to know||not be discriminate,privacy policy,"['privacy', 'policy']"
https://www.politico.com/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
https://www.tmz.com/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||authorized agent,privacy policy,['privacy']
http://biblegateway.com/legal/california/,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||nondiscrimination||authorized agent,privacy policy,[]
http://experian.com/privacy/us-consumer-data-privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://nerdwallet.com/blog/nerdwallet-california-privacy-policy/?trk=nw_gf_5.0,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
http://ziprecruiter.com/privacy,,california privacy,right to know||right to access||authorized agent||authorized representative,privacy policy,['privacy']
https://www.autotrader.com/legal/privacy-statement,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||non-discrimination||not discriminate||authorized representative,privacy policy,['privacy']
https://www.fidelity.com/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
https://www.nfl.com/legal/privacy/,,ccpa||california consumer privacy||california consumer privacy act,not discriminate||authorized agent,privacy policy,['privacy']
http://autoevolution.com/static/privacy.html#ccpa,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to access||authorized agent,privacy policy,"['privacy', 'ccpa']"
http://boostmobile.com/content/boost/us/en/support/legal/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to know||authorized agent,privacy policy,"['privacy', 'policy']"
http://chick-fil-a.com/legal/privacy/california-privacy-policy,,ccpa||california privacy||california consumer privacy,right to know||not discriminate||authorized agent,privacy policy,"['privacy', 'policy']"
http://dailywire.com/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||not discriminate||authorized agent,privacy policy,['privacy']
http://food52.com/p/privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,['privacy']
http://humblebundle.com/privacy,,california privacy,right to know||not be discriminate,privacy policy,['privacy']
http://ifixit.com/Info/Privacy,,ccpa||california consumer privacy||california consumer privacy act,right to know||non-discrimination||not discriminate||authorized representative,privacy policy,['privacy']
http://iheart.com/privacy/,,california privacy,right to know||authorized agent,privacy policy,['privacy']
http://investing.com/about-us/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||non discrimination||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
http://leafly.com/info/privacy-policy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,right to know||authorized agent||not be discriminate,privacy policy,"['privacy', 'policy']"
http://lg.com/us/privacy,,ccpa||california privacy||california consumer privacy||california consumer privacy act,nondiscrimination||authorized agent,privacy policy,['privacy']
http://livejasmin.com/en/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,right to know||right to access||non-discrimination||authorized agent,privacy policy,"['privacy', 'policy']"
http://medallia.com/privacy-policy,,ccpa||california consumer privacy||california consumer privacy act,authorized agent,privacy policy,"['privacy', 'policy']"
http://mercari.com/us/help_center/topics/trust/policies/mercari-privacy-policy/,,ccpa||california consumer privacy||california consumer privacy act,right to know||non-discrimination||authorized agent||authorized representative,privacy policy,"['privacy', 'policy']"
